time,velocity 
0,10
0.2,11.2536
0.4,12.0294
0.6,12.7956
0.8,13.55
1,14.2929
1.2,15.0243
1.4,15.7446
1.6,16.454
1.8,17.1525
2,17.8404
2.2,18.5179
2.4,19.1852
2.6,19.8424
2.8,20.4897
3,21.1273
3.2,21.7554
3.4,22.374
3.6,22.9835
3.8,23.5839
4,24.1754
4.2,24.7581
4.4,25.3322
4.6,25.8979
4.8,26.4553
5,27.0045
5.2,27.5456
5.4,28.0789
5.6,28.6045
5.8,29.1224
6,29.6328
6.2,30.1359
6.4,30.6318
6.6,31.1205
6.8,31.6023
7,32.0772
7.2,32.5454
7.4,33.0069
7.6,33.4619
7.8,33.9105
8,34.3528
8.2,34.7889
8.4,35.2189
8.6,35.643
8.8,36.0612
9,36.4736
9.2,36.8803
9.4,37.2814
9.6,37.6771
9.8,38.0673
10,38.4523
10.2,38.8321
10.4,39.2067
10.6,39.5763
10.8,39.9409
11,40.3007
11.2,40.6557
11.4,41.006
11.6,41.3516
11.8,41.6928
12,42.0294
12.2,42.3617
12.4,42.6896
12.6,43.0133
12.8,43.3329
13,43.6483
13.2,43.9597
13.4,44.2671
13.6,44.5706
13.8,44.8703
14,45.1663
14.2,45.4585
14.4,45.747
14.6,46.032
14.8,46.3135
15,46.5915
15.2,46.8661
15.4,47.1373
15.6,47.4053
15.8,47.67
16,47.9315
16.2,48.1899
16.4,48.4453
16.6,48.6975
16.8,48.9468
17,49.1932
17.2,49.4367
17.4,49.6774
17.6,49.9153
17.8,50.1504
18,50.3829
18.2,50.6127
18.4,50.8398
18.6,51.0645
18.8,51.2866
19,51.5062
19.2,51.7234
19.4,51.9381
19.6,52.1506
19.8,52.3607
20,52.5685
20.2,52.774
20.4,52.9774
20.6,53.1786
20.8,53.3776
21,53.5745
21.2,53.7694
21.4,53.9622
21.6,54.153
21.8,54.3419
22,54.5288
22.2,54.7138
22.4,54.8969
22.6,55.0782
22.8,55.2576
23,55.4353
23.2,55.6112
23.4,55.7853
23.6,55.9578
23.8,56.1286
24,56.2977
24.2,56.4652
24.4,56.6311
24.6,56.7954
24.8,56.9582
25,57.1194
25.2,57.2792
25.4,57.4375
25.6,57.5943
25.8,57.7497
26,57.9036
26.2,58.0562
26.4,58.2074
26.6,58.3573
26.8,58.5058
27,58.6531
27.2,58.799
27.4,58.9437
27.6,59.0871
27.8,59.2294
28,59.3704
28.2,59.5102
28.4,59.6489
