time,velocity 
65,3.3483
65.2,3.35495
65.4,3.3616
65.6,3.36824
65.8,3.37488
66,3.3815
66.2,3.38813
66.4,3.39474
66.6,3.40135
66.8,3.40795
67,3.41455
67.2,3.42114
67.4,3.42772
67.6,3.4343
67.8,3.44087
68,3.44744
68.2,3.454
68.4,3.46055
68.6,3.4671
68.8,3.47364
69,3.48018
69.2,3.48671
69.4,3.49323
69.6,3.49975
69.8,3.50626
70,3.51277
70.2,3.51927
70.4,3.52577
70.6,3.53226
70.8,3.53874
71,3.54522
71.2,3.5517
71.4,3.55816
71.6,3.56463
71.8,3.57109
72,3.57754
72.2,3.58399
72.4,3.59043
72.6,3.59686
72.8,3.6033
73,3.60972
73.2,3.61614
73.4,3.62256
73.6,3.62897
73.8,3.63538
74,3.64178
74.2,3.64817
74.4,3.65457
74.6,3.66095
74.8,3.66733
75,3.67371
75.2,3.68008
75.4,3.68645
75.6,3.69281
75.8,3.69917
76,3.70552
76.2,3.71187
76.4,3.71821
76.6,3.72455
76.8,3.73088
77,3.73721
77.2,3.74354
77.4,3.74986
77.6,3.75617
77.8,3.76249
78,3.76879
78.2,3.77509
78.4,3.78139
78.6,3.78769
78.8,3.79398
79,3.80026
79.2,3.80654
79.4,3.81282
79.6,3.81909
79.8,3.82536
80,3.83162
80.2,3.83788
80.4,3.84413
80.6,3.85038
80.8,3.85663
81,3.86287
81.2,3.86911
81.4,3.87535
81.6,3.88158
81.8,3.8878
82,3.89402
82.2,3.90024
82.4,3.90646
82.6,3.91267
82.8,3.91887
83,3.92507
83.2,3.93127
83.4,3.93747
83.6,3.94366
83.8,3.94984
84,3.95603
84.2,3.96221
84.4,3.96838
84.6,3.97455
84.8,3.98072
85,3.98688
85.2,3.99304
85.4,3.9992
85.6,4.00535
85.8,4.0115
86,4.01765
86.2,4.02379
86.4,4.02993
86.6,4.03606
86.8,4.04219
87,4.04832
87.2,4.05444
87.4,4.06056
87.6,4.06668
87.8,4.07279
88,4.0789
88.2,4.085
88.4,4.09111
88.6,4.09721
88.8,4.1033
89,4.10939
89.2,4.11548
89.4,4.12157
89.6,4.12765
89.8,4.13373
90,4.1398
90.2,4.14587
90.4,4.15194
90.6,4.158
90.8,4.16407
91,4.17012
91.2,4.17618
91.4,4.18223
91.6,4.18828
91.8,4.19432
92,4.20036
92.2,4.2064
92.4,4.21244
92.6,4.21847
92.8,4.2245
93,4.23052
93.2,4.23654
93.4,4.24256
93.6,4.24858
93.8,4.25459
94,4.2606
94.2,4.26661
94.4,4.27261
94.6,4.27861
94.8,4.28461
95,4.2906
95.2,4.29659
95.4,4.30258
95.6,4.30856
95.8,4.31455
96,4.32052
96.2,4.3265
96.4,4.33247
96.6,4.33844
96.8,4.34441
97,4.35037
97.2,4.35633
97.4,4.36229
97.6,4.36824
97.8,4.37419
98,4.38014
98.2,4.38609
98.4,4.39203
98.6,4.39797
98.8,4.40391
99,4.40984
99.2,4.41577
99.4,4.4217
99.6,4.42762
99.8,4.43355
100,4.43947
100.2,4.44538
100.4,4.4513
100.6,4.45721
100.8,4.46311
101,4.46902
101.2,4.47492
101.4,4.48082
101.6,4.48672
101.8,4.49261
102,4.4985
102.2,4.50439
102.4,4.51028
102.6,4.51616
102.8,4.52204
103,4.52791
103.2,4.53379
103.4,4.53966
103.6,4.54553
103.8,4.5514
104,4.55726
104.2,4.56312
104.4,4.56898
104.6,4.57483
104.8,4.58069
105,4.58653
105.2,4.59238
105.4,4.59823
105.6,4.60407
105.8,4.60991
106,4.61574
106.2,4.62158
106.4,4.62741
106.6,4.63324
106.8,4.63906
107,4.64489
107.2,4.65071
107.4,4.65652
107.6,4.66234
107.8,4.66815
108,4.67396
108.2,4.67977
108.4,4.68557
108.6,4.69138
108.8,4.69718
109,4.70297
109.2,4.70877
109.4,4.71456
109.6,4.72035
109.8,4.72614
110,4.73192
110.2,4.7377
110.4,4.74348
110.6,4.74926
110.8,4.75503
111,4.7608
111.2,4.76657
111.4,4.77234
111.6,4.7781
111.8,4.78386
112,4.78962
112.2,4.79538
112.4,4.80113
112.6,4.80688
112.8,4.81263
113,4.81838
113.2,4.82412
113.4,4.82986
113.6,4.8356
113.8,4.84134
114,4.84707
114.2,4.85281
114.4,4.85853
114.6,4.86426
114.8,4.86999
115,4.87571
115.2,4.88143
115.4,4.88714
115.6,4.89286
115.8,4.89857
116,4.90428
116.2,4.90999
116.4,4.91569
116.6,4.92139
116.8,4.92709
117,4.93279
117.2,4.93849
117.4,4.94418
117.6,4.94987
117.8,4.95556
118,4.96124
118.2,4.96693
118.4,4.97261
118.6,4.97829
118.8,4.98396
119,4.98964
119.2,4.99531
119.4,5.00098
119.6,5.00664
119.8,5.01231
120,5.01797
120.2,5.02363
120.4,5.02928
120.6,5.03494
120.8,5.04059
121,5.04624
121.2,5.05189
121.4,5.05754
121.6,5.06318
121.8,5.06882
122,5.07446
122.2,5.08009
122.4,5.08573
122.6,5.09136
122.8,5.09699
123,5.10262
123.2,5.10824
123.4,5.11386
123.6,5.11948
123.8,5.1251
124,5.13072
124.2,5.13633
124.4,5.14194
124.6,5.14755
124.8,5.15315
125,5.15876
125.2,5.16436
125.4,5.16996
125.6,5.17556
125.8,5.18115
126,5.18674
126.2,5.19234
126.4,5.19792
126.6,5.20351
126.8,5.20909
127,5.21467
127.2,5.22025
127.4,5.22583
127.6,5.2314
127.8,5.23698
128,5.24255
128.2,5.24811
128.4,5.25368
128.6,5.25924
128.8,5.2648
129,5.27036
129.2,5.27592
129.4,5.28147
129.6,5.28703
129.8,5.29258
130,5.29813
130.2,5.30367
130.4,5.30921
130.6,5.31476
130.8,5.32029
131,5.32583
131.2,5.33137
131.4,5.3369
131.6,5.34243
131.8,5.34796
132,5.35348
132.2,5.359
132.4,5.36453
132.6,5.37005
132.8,5.37556
133,5.38108
133.2,5.38659
133.4,5.3921
133.6,5.39761
133.8,5.40311
134,5.40862
134.2,5.41412
134.4,5.41962
134.6,5.42512
134.8,5.43061
135,5.4361
135.2,5.4416
135.4,5.44708
135.6,5.45257
135.8,5.45806
136,5.46354
136.2,5.46902
136.4,5.4745
136.6,5.47997
136.8,5.48544
137,5.49092
137.2,5.49639
137.4,5.50185
137.6,5.50732
137.8,5.51278
138,5.51824
138.2,5.5237
138.4,5.52916
138.6,5.53461
138.8,5.54006
139,5.54551
139.2,5.55096
139.4,5.55641
139.6,5.56185
139.8,5.56729
140,5.57273
140.2,5.57817
140.4,5.5836
140.6,5.58904
140.8,5.59447
141,5.5999
141.2,5.60532
141.4,5.61075
141.6,5.61617
141.8,5.62159
142,5.62701
142.2,5.63242
142.4,5.63784
142.6,5.64325
142.8,5.64866
143,5.65407
143.2,5.65947
143.4,5.66488
143.6,5.67028
143.8,5.67568
144,5.68107
144.2,5.68647
144.4,5.69186
144.6,5.69725
144.8,5.70264
145,5.70803
145.2,5.71341
145.4,5.7188
145.6,5.72418
145.8,5.72956
146,5.73493
146.2,5.74031
146.4,5.74568
146.6,5.75105
146.8,5.75642
147,5.76178
147.2,5.76715
147.4,5.77251
147.6,5.77787
147.8,5.78323
148,5.78858
148.2,5.79393
148.4,5.79929
148.6,5.80464
148.8,5.80998
149,5.81533
149.2,5.82067
149.4,5.82601
149.6,5.83135
149.8,5.83669
150,5.84202
150.2,5.84736
150.4,5.85269
150.6,5.85802
150.8,5.86334
151,5.86867
151.2,5.87399
151.4,5.87931
151.6,5.88463
151.8,5.88995
152,5.89526
152.2,5.90057
152.4,5.90588
152.6,5.91119
152.8,5.9165
153,5.9218
153.2,5.92711
153.4,5.93241
153.6,5.9377
153.8,5.943
154,5.9483
154.2,5.95359
154.4,5.95888
154.6,5.96417
154.8,5.96945
155,5.97474
155.2,5.98002
155.4,5.9853
155.6,5.99058
155.8,5.99585
156,6.00113
156.2,6.0064
156.4,6.01167
156.6,6.01694
156.8,6.0222
157,6.02747
157.2,6.03273
157.4,6.03799
157.6,6.04325
157.8,6.0485
158,6.05375
158.2,6.05901
158.4,6.06426
158.6,6.0695
158.8,6.07475
159,6.07999
159.2,6.08524
159.4,6.09048
159.6,6.09571
159.8,6.10095
160,6.10618
160.2,6.11142
160.4,6.11664
160.6,6.12187
160.8,6.1271
161,6.13232
161.2,6.13754
161.4,6.14276
161.6,6.14798
161.8,6.1532
162,6.15841
162.2,6.16362
162.4,6.16883
162.6,6.17404
162.8,6.17925
163,6.18445
163.2,6.18965
163.4,6.19485
163.6,6.20005
163.8,6.20525
164,6.21044
164.2,6.21563
164.4,6.22082
164.6,6.22601
164.8,6.2312
165,6.23638
165.2,6.24157
165.4,6.24675
165.6,6.25192
165.8,6.2571
166,6.26227
166.2,6.26745
166.4,6.27262
166.6,6.27779
166.8,6.28295
167,6.28812
167.2,6.29328
167.4,6.29844
167.6,6.3036
167.8,6.30876
168,6.31391
168.2,6.31906
168.4,6.32421
168.6,6.32936
168.8,6.33451
169,6.33966
169.2,6.3448
169.4,6.34994
169.6,6.35508
169.8,6.36022
170,6.36535
170.2,6.37048
170.4,6.37562
170.6,6.38074
170.8,6.38587
171,6.391
171.2,6.39612
171.4,6.40124
171.6,6.40636
171.8,6.41148
172,6.4166
172.2,6.42171
172.4,6.42682
172.6,6.43193
172.8,6.43704
173,6.44215
173.2,6.44725
173.4,6.45235
173.6,6.45745
173.8,6.46255
174,6.46765
174.2,6.47274
174.4,6.47783
174.6,6.48293
174.8,6.48801
175,6.4931
175.2,6.49819
175.4,6.50327
175.6,6.50835
175.8,6.51343
176,6.51851
176.2,6.52358
176.4,6.52865
176.6,6.53373
176.8,6.5388
177,6.54386
177.2,6.54893
177.4,6.55399
177.6,6.55905
177.8,6.56411
178,6.56917
178.2,6.57423
178.4,6.57928
178.6,6.58433
178.8,6.58939
179,6.59443
179.2,6.59948
179.4,6.60452
179.6,6.60957
179.8,6.61461
180,6.61965
180.2,6.62468
180.4,6.62972
180.6,6.63475
180.8,6.63978
181,6.64481
181.2,6.64984
181.4,6.65487
181.6,6.65989
181.8,6.66491
182,6.66993
182.2,6.67495
182.4,6.67997
182.6,6.68498
182.8,6.68999
183,6.695
183.2,6.70001
183.4,6.70502
183.6,6.71002
183.8,6.71503
184,6.72003
184.2,6.72503
184.4,6.73002
184.6,6.73502
184.8,6.74001
185,6.745
185.2,6.74999
185.4,6.75498
185.6,6.75997
185.8,6.76495
186,6.76993
186.2,6.77491
186.4,6.77989
186.6,6.78487
186.8,6.78984
187,6.79481
187.2,6.79978
187.4,6.80475
187.6,6.80972
187.8,6.81469
188,6.81965
188.2,6.82461
188.4,6.82957
188.6,6.83453
188.8,6.83948
189,6.84444
189.2,6.84939
189.4,6.85434
189.6,6.85929
189.8,6.86423
190,6.86918
190.2,6.87412
190.4,6.87906
190.6,6.884
190.8,6.88894
191,6.89387
191.2,6.89881
191.4,6.90374
191.6,6.90867
191.8,6.9136
192,6.91852
192.2,6.92345
192.4,6.92837
192.6,6.93329
192.8,6.93821
193,6.94312
193.2,6.94804
193.4,6.95295
193.6,6.95786
193.8,6.96277
194,6.96768
194.2,6.97259
194.4,6.97749
194.6,6.98239
194.8,6.98729
195,6.99219
195.2,6.99709
195.4,7.00198
195.6,7.00687
195.8,7.01176
196,7.01665
196.2,7.02154
196.4,7.02642
196.6,7.03131
196.8,7.03619
197,7.04107
197.2,7.04595
197.4,7.05082
197.6,7.0557
197.8,7.06057
198,7.06544
198.2,7.07031
198.4,7.07518
198.6,7.08004
198.8,7.0849
199,7.08977
199.2,7.09463
199.4,7.09948
199.6,7.10434
199.8,7.10919
200,7.11404
200.2,7.1189
200.4,7.12374
200.6,7.12859
200.8,7.13344
201,7.13828
201.2,7.14312
201.4,7.14796
201.6,7.1528
201.8,7.15763
202,7.16247
202.2,7.1673
202.4,7.17213
202.6,7.17696
202.8,7.18178
203,7.18661
203.2,7.19143
203.4,7.19625
203.6,7.20107
203.8,7.20589
204,7.21071
204.2,7.21552
204.4,7.22033
204.6,7.22514
204.8,7.22995
205,7.23476
205.2,7.23956
205.4,7.24436
205.6,7.24917
205.8,7.25397
206,7.25876
206.2,7.26356
206.4,7.26835
206.6,7.27315
206.8,7.27794
207,7.28272
207.2,7.28751
207.4,7.2923
207.6,7.29708
207.8,7.30186
208,7.30664
208.2,7.31142
208.4,7.31619
208.6,7.32097
208.8,7.32574
209,7.33051
209.2,7.33528
209.4,7.34005
209.6,7.34481
209.8,7.34958
210,7.35434
210.2,7.3591
210.4,7.36385
210.6,7.36861
210.8,7.37337
211,7.37812
211.2,7.38287
211.4,7.38762
211.6,7.39237
211.8,7.39711
212,7.40185
212.2,7.4066
212.4,7.41134
212.6,7.41607
212.8,7.42081
213,7.42555
213.2,7.43028
213.4,7.43501
213.6,7.43974
213.8,7.44447
214,7.44919
214.2,7.45392
214.4,7.45864
214.6,7.46336
214.8,7.46808
215,7.4728
215.2,7.47751
215.4,7.48222
215.6,7.48694
215.8,7.49165
216,7.49635
216.2,7.50106
216.4,7.50576
216.6,7.51047
216.8,7.51517
217,7.51987
217.2,7.52456
217.4,7.52926
217.6,7.53395
217.8,7.53865
218,7.54334
218.2,7.54803
218.4,7.55271
218.6,7.5574
218.8,7.56208
219,7.56676
219.2,7.57144
219.4,7.57612
219.6,7.5808
219.8,7.58547
220,7.59014
220.2,7.59481
220.4,7.59948
220.6,7.60415
220.8,7.60882
221,7.61348
221.2,7.61814
221.4,7.6228
221.6,7.62746
221.8,7.63212
222,7.63677
222.2,7.64143
222.4,7.64608
222.6,7.65073
222.8,7.65538
223,7.66002
223.2,7.66467
223.4,7.66931
223.6,7.67395
223.8,7.67859
224,7.68323
224.2,7.68787
224.4,7.6925
224.6,7.69713
224.8,7.70176
225,7.70639
225.2,7.71102
225.4,7.71564
225.6,7.72027
225.8,7.72489
226,7.72951
226.2,7.73413
226.4,7.73875
226.6,7.74336
226.8,7.74797
227,7.75259
227.2,7.7572
227.4,7.7618
227.6,7.76641
227.8,7.77101
228,7.77562
228.2,7.78022
228.4,7.78482
228.6,7.78942
228.8,7.79401
229,7.79861
229.2,7.8032
229.4,7.80779
229.6,7.81238
229.8,7.81697
230,7.82155
230.2,7.82613
230.4,7.83072
230.6,7.8353
230.8,7.83988
231,7.84445
231.2,7.84903
231.4,7.8536
231.6,7.85817
231.8,7.86274
232,7.86731
232.2,7.87188
232.4,7.87644
232.6,7.88101
232.8,7.88557
233,7.89013
233.2,7.89469
233.4,7.89924
233.6,7.9038
233.8,7.90835
234,7.9129
234.2,7.91745
234.4,7.922
234.6,7.92654
234.8,7.93109
235,7.93563
235.2,7.94017
235.4,7.94471
235.6,7.94925
235.8,7.95378
236,7.95832
236.2,7.96285
236.4,7.96738
236.6,7.97191
236.8,7.97644
237,7.98096
237.2,7.98549
237.4,7.99001
237.6,7.99453
237.8,7.99905
238,8.00356
238.2,8.00808
238.4,8.01259
238.6,8.01711
238.8,8.02162
239,8.02612
239.2,8.03063
239.4,8.03514
239.6,8.03964
239.8,8.04414
240,8.04864
240.2,8.05314
240.4,8.05764
240.6,8.06213
240.8,8.06662
241,8.07112
241.2,8.07561
241.4,8.08009
241.6,8.08458
241.8,8.08907
242,8.09355
242.2,8.09803
242.4,8.10251
242.6,8.10699
242.8,8.11146
243,8.11594
243.2,8.12041
243.4,8.12488
243.6,8.12935
243.8,8.13382
244,8.13829
244.2,8.14275
244.4,8.14721
244.6,8.15168
244.8,8.15614
245,8.16059
245.2,8.16505
245.4,8.1695
245.6,8.17396
245.8,8.17841
246,8.18286
246.2,8.18731
246.4,8.19175
246.6,8.1962
246.8,8.20064
247,8.20508
247.2,8.20952
247.4,8.21396
247.6,8.21839
247.8,8.22283
248,8.22726
248.2,8.23169
248.4,8.23612
248.6,8.24055
248.8,8.24497
249,8.2494
249.2,8.25382
249.4,8.25824
249.6,8.26266
249.8,8.26708
250,8.2715
250.2,8.27591
250.4,8.28032
250.6,8.28473
250.8,8.28914
251,8.29355
251.2,8.29796
251.4,8.30236
251.6,8.30677
251.8,8.31117
252,8.31557
252.2,8.31996
252.4,8.32436
252.6,8.32875
252.8,8.33315
253,8.33754
253.2,8.34193
253.4,8.34632
253.6,8.3507
253.8,8.35509
254,8.35947
254.2,8.36385
254.4,8.36823
254.6,8.37261
254.8,8.37699
255,8.38136
255.2,8.38573
255.4,8.3901
255.6,8.39447
255.8,8.39884
256,8.40321
256.2,8.40757
256.4,8.41194
256.6,8.4163
256.8,8.42066
257,8.42502
257.2,8.42937
257.4,8.43373
257.6,8.43808
257.8,8.44243
258,8.44678
258.2,8.45113
258.4,8.45548
258.6,8.45982
258.8,8.46417
